Gesture,Mean Positional Movement,CI 95 Positional Movement,STD Positional Movement,Mean Duration,CI 95 Duration,STD Duration,Mean Angular Movement,CI 95 Angular Movement,STD Angular Movement
NormalWalking,0.0,,,-0.0,,,0.0,,
TapOuward,1.5475175755854509,0.1585358772383139,1.0608053764148289,0.0980512892260498,0.0788304753098175,0.5274755058016687,7.305789827511663,3.282341425801747,21.96301236271912
TapInFrontOfTheOtherFoot,1.5042891627627144,0.1413921808441253,0.932239621978946,0.1752193020376359,0.0551508356156019,0.3636254412313768,2.1846753315730054,2.0876764011128928,13.764655494870755
TapInward,1.4675134955843208,0.158435877189793,1.0608053764948586,0.0981512892096162,0.0787304753125467,0.5275755058155608,7.305689827521579,3.282341425834048,21.963012362711424
BigStep,1.1499011930208276,0.1440115705967553,0.9551787845703156,0.2247793062894872,0.039862424144392,0.2643936295291312,0.2953263892678875,1.6359196512263598,10.850487482623816
SmallStep,1.5627987750371677,0.1591380066007035,1.042941176985298,0.2187669340463457,0.0627062101349299,0.4109570680152161,0.3115631112892078,2.0481174475305024,13.422727021403714
ToeTapBehind,1.278613401902559,0.1431573223857759,0.9410474872816093,0.085250504692567,0.0502913195103864,0.3305909824842331,-0.2466161062735571,2.191358569622367,14.404938855443744
ToeTapInFront,1.278013401702738,0.1435573224850909,0.9410474872895492,0.0852505044923729,0.0502913196265546,0.3305909823001948,-0.2465161062792001,2.191458569648101,14.404938855603504
TapWithHeel,1.3797072444752057,0.1702204348806074,1.1189473919937916,0.070828817945579,0.0655475584155531,0.4308781703682497,0.1504340958854418,2.025395259826355,13.313975759308086
TapWithFootRotatedOutwards,1.528887129107727,0.1480787784149656,0.9466437629894132,0.1731479415738501,0.049994242871772,0.3196051365801772,12.58909988772427,5.3073969048966765,33.92933296390551
TapWithFootRotatedInwards,1.5214104243433488,0.15310385321535,1.0244582707075662,0.1175280334120962,0.0565794733717661,0.3785881820129988,15.778725270177368,5.126306865850417,34.30147156073609
Click,1.4588934265687523,0.1572710394156217,1.002201353425095,0.0840717126011243,0.0450413057636533,0.2870233309584341,-0.3186365633411481,1.7384857887179137,11.078408439579013
KickInward,1.3250222010129624,0.1603256924867435,1.028195257894838,0.0780080157494528,0.0590184669307121,0.378495217361366,5.040508410706053,3.117166626672274,19.9909065970664
KickOutward,1.2374986149580804,0.1369622817464116,0.911106976105357,0.011139661319073,0.0579043581304595,0.3851941130569467,3.659729161529403,2.8492471035752853,18.95389650065784
KickForward,1.2711076708296976,0.1644479982297219,1.077741216508515,0.0848639037433154,0.0678830940855438,0.4448847610654174,1.1167461803245655,2.1560945882060505,14.130375738320376
LiftInFront,1.2385956440946977,0.1427329864225366,0.9245751021525296,0.0531625008807258,0.0593635965899577,0.3855443197531063,-0.3512603502418223,1.8102439947672613,11.755478258266535
BendingBehind,1.241595144094623,0.1426929864374113,0.9266251071825334,0.0532125008252458,0.0593630965898527,0.3854943197533181,-0.3513103502365788,1.810243594763108,11.755428258274035
MidairRotationInwards,1.4295082350686243,0.1462398110213,0.9699579302433166,-0.0210490960773766,0.0521800540396722,0.3460921951610913,2.855891064345522,2.8938804742343307,19.194105186248112
MidairRotationOutwards,1.4102371983000883,0.1540807364174358,0.9943797359901017,0.085402161319073,0.0513450881785329,0.3313620924619391,9.744767798643316,4.771571763967305,30.79394855731436
DraggingInFront,1.4509992063580426,0.1742744577387306,1.1524771132248497,0.054837280366692,0.0589700607681502,0.389969053885445,-1.7908972430570649,,9.8364229672774
DraggingBehind,1.332836115015328,0.1535484640799022,1.015416102388408,0.0032360898905016,0.055038914774647,0.3639723826288333,-0.454018744343011,1.9557584317476164,12.933431902939908
Delay,1.1980487472503147,0.1478113471794065,0.9539194308261828,0.022433411319073,0.0576825339419296,0.372261609115242,-1.0251568323470976,1.6034342071951515,10.34796769992454
Rush,1.4381732899697852,0.1976297855151261,1.2714371301672087,-0.1962999613224364,0.0559929465989293,3.602266285306453,1.2351835285737924,1.9378702312174167,12.467149923749512